warehouse_id,sku_id,wh_cs_actual,vm_cs_actual
3,5162,0,0
3,5174,0,2
3,5205,0,0
3,5244,122,6
3,5245,133,7
3,5249,0,0
3,5250,0,0
3,5344,0,3
3,5346,300,16
3,5347,0,3
3,5371,0,0
3,5420,0,4
3,5423,0,2
3,5445,0,2
3,5460,0,0
3,5461,0,3
3,5485,0,0
3,5491,0,3
3,5499,0,0
3,5516,0,0
3,5518,0,0
3,5520,0,2
3,5523,0,0
3,5592,1005,53
3,5594,0,0
3,5596,0,0
3,5605,0,4
3,5606,0,0
3,5612,1181,62
3,5632,0,3
3,5647,495,26
3,5673,422,22
3,5710,0,3
3,5750,485,26
3,5769,366,19
3,5850,0,0
3,5870,0,0
3,5898,468,25
3,5899,504,27
3,5929,0,0
3,5937,504,27
3,6052,269,14
3,6060,1,0
3,13135,0,0
3,14836,0,2
3,15303,0,0
3,15318,0,0
3,15487,0,3
3,15984,0,0
3,15985,292,15
3,16278,0,0
3,16279,432,23
3,17174,338,18
3,17183,588,31
3,17184,0,0
3,17270,0,0
3,17417,0,0
3,17972,1204,63
3,19028,0,4
3,19057,0,0
3,19635,518,27
3,19636,445,23
3,19637,0,0
3,19757,822,43
3,19758,0,2
3,19759,263,14
3,20462,0,0
3,20465,470,25
3,20582,144,8
3,20583,180,10
3,20657,290,15
3,20762,202,11
3,21074,136,7
3,21075,0,5
3,21336,0,0
3,21721,0,0
3,21808,304,16
3,22048,109,6
3,23267,688,36
3,23510,257,14
3,23519,244,13
3,23624,0,3
3,23873,0,0
3,24172,287,15
3,24173,339,18
3,24189,0,2
3,24204,502,26
3,24747,124,7
3,24827,555,29
3,24828,551,29
3,24855,301,16
3,24856,291,15
3,24860,0,5
3,24879,245,13
3,24880,205,11
3,25127,0,0
3,25128,0,0
3,25433,431,23
3,25440,0,0
3,25457,0,0
3,25971,0,3
3,25972,0,2
3,25973,0,0
3,25974,0,0
3,25976,0,0
3,25993,233,12
3,25995,128,7
3,25997,0,0
3,26041,0,4
3,26042,0,0
3,26043,0,0
3,26044,322,17
3,26045,0,0
3,26128,0,0
3,26364,0,0
3,26669,399,21
3,26831,298,16
3,26834,927,49
3,26835,782,41
3,26841,439,23
3,26844,174,9
3,26957,0,2
3,26958,0,0
3,26959,0,0
3,26960,0,0
3,26961,0,0
3,27203,254,13
3,27204,172,9
3,27205,123,7
3,27206,0,5
3,27382,0,0
3,27715,249,13
3,27716,154,8
3,27738,0,2
3,27741,0,5
3,27742,0,5
3,27743,0,5
3,27829,0,3
3,28481,0,0
3,28513,0,0
3,29545,451,24
3,29546,170,9
3,29712,908,48
3,29713,118,6
3,29715,109,6
3,29718,327,17
3,29747,0,0
3,29748,639,34
3,29828,0,0
3,30088,343,18
3,30171,205,11
3,30194,628,33
3,30195,461,24
3,30221,329,17
3,30369,188,10
3,30420,0,0
3,30864,0,2
3,30865,0,2
3,30881,0,0
3,31320,308,16
3,31478,0,0
3,31479,0,0
3,31685,0,4
3,32142,170,9
3,32184,170,9
3,32206,260,14
3,32493,0,0
3,32505,361,19
3,32506,393,21
3,33849,119,6
3,33932,0,0
3,33933,0,3
3,33934,0,3
3,33935,0,1
4,3915,176,9
4,3950,963,51
4,3965,2720,150
4,3966,2767,152
4,4011,987,52
4,4149,266,14
4,4163,266,14
4,4198,266,14
4,4218,2634,145
4,4309,732,39
4,4312,642,34
4,4315,2016,106
4,4424,125,7
4,4457,102,5
4,4458,1766,93
4,4470,1201,63
4,4499,2486,131
4,4500,1326,70
4,4561,1839,97
4,4596,355,19
4,4621,355,19
4,4625,2659,147
4,4626,572,30
4,4627,2071,109
4,4629,2485,146
4,4712,546,29
4,7365,1335,70
4,14623,3009,174
4,14819,969,51
4,15226,0,0
4,15227,0,0
4,15339,0,5
4,15541,272,14
4,15714,2137,113
4,15719,0,5
4,15727,0,1
4,15833,196,10
4,15834,0,0
4,15839,0,0
4,15856,505,27
4,15857,517,27
4,16038,1107,58
4,16485,1671,88
4,16587,107,6
4,16649,230,12
4,16892,0,5
4,16893,0,5
4,17314,639,34
4,17385,750,40
4,17553,2366,125
4,17554,284,15
4,17613,1232,65
4,18090,301,16
4,19322,2666,140
4,19323,2439,128
4,19423,304,16
4,20441,1029,54
4,20466,533,28
4,21698,1567,83
4,21700,472,25
4,21797,2144,113
4,21805,1168,62
4,22047,1029,54
4,22080,1345,71
4,22394,493,26
4,22928,1212,64
4,23200,0,0
4,23202,0,0
4,23204,0,0
4,23223,898,47
4,23262,612,32
4,23316,1538,81
4,23318,0,0
4,23319,739,39
4,23393,769,41
4,23394,801,42
4,23395,940,50
4,23396,430,23
4,23507,280,15
4,23512,175,9
4,23517,128,7
4,23577,466,25
4,23809,1189,63
4,23813,354,19
4,23823,0,0
4,24081,297,16
4,24207,516,27
4,24208,2576,136
4,24217,549,29
4,24218,251,13
4,24389,7604,424
4,24390,2613,138
4,24391,1305,69
4,24392,6500,360
4,24710,827,44
4,24825,723,38
4,24826,697,37
4,24845,538,28
4,24846,540,28
4,24862,237,13
4,24869,237,13
4,24881,214,11
4,25000,1462,77
4,25001,1333,70
4,25025,789,42
4,25114,960,51
4,25115,1362,72
4,25116,1120,59
4,25130,1786,94
4,25403,0,3
4,25424,1499,79
4,25660,0,3
4,25661,0,0
4,26018,285,15
4,26020,168,9
4,26120,0,4
4,26227,0,0
4,26686,0,5
4,26687,0,5
4,27183,510,27
4,27184,961,51
4,27210,144,8
4,27212,175,9
4,27213,144,8
4,27367,237,13
4,27368,118,6
4,27660,0,0
4,27706,587,31
4,27707,947,50
4,27708,624,33
4,27709,645,34
4,27719,0,2
4,27756,399,21
4,27757,173,9
4,27835,456,24
4,27874,0,0
4,27875,0,0
4,27893,0,0
4,28212,275,15
4,28215,0,0
4,28270,827,44
4,28275,456,24
4,28414,237,13
4,28918,331,17
4,29559,237,13
4,29710,237,13
4,30174,702,37
4,30180,218,12
4,30188,1257,66
4,30872,0,0
4,30912,239,13
4,31290,0,5
4,31306,275,15
4,31326,1348,71
4,31649,285,15
4,31843,599,32
4,32189,404,21
4,32256,189,10
4,32261,685,36
4,32262,507,27
4,32891,933,49
4,33012,0,0
4,33014,0,0
4,33016,0,0
4,33017,0,0
4,33018,0,0
4,33207,380,20
4,33208,298,16
4,1000004,0,0
4,0,0,4
5,3865,133,7
5,3915,0,5
5,3938,0,4
5,3943,194,10
5,3947,1104,58
5,3965,729,38
5,3966,663,35
5,4011,302,16
5,4131,1360,72
5,4149,0,5
5,4218,146,8
5,4315,512,27
5,4457,322,17
5,4458,358,19
5,4470,428,23
5,4497,0,0
5,4500,102,5
5,4508,309,16
5,4596,115,6
5,4620,186,10
5,4621,0,5
5,4628,1680,88
5,4629,962,51
5,7328,0,5
5,7365,956,50
5,7416,709,37
5,7423,560,30
5,7498,261,14
5,7635,0,0
5,7654,732,39
5,7656,3093,163
5,7838,103,5
5,8051,268,14
5,8067,235,12
5,14819,110,6
5,15541,121,6
5,15714,929,49
5,15856,0,1
5,16414,140,7
5,16415,184,10
5,16485,895,47
5,17256,321,17
5,17325,193,10
5,17385,256,14
5,17553,537,28
5,17613,1141,60
5,18088,113,6
5,18578,841,44
5,18640,512,27
5,19315,0,1
5,19404,547,29
5,19423,138,7
5,19959,0,4
5,19963,1355,71
5,20423,602,32
5,20442,902,48
5,20625,231,12
5,20652,496,26
5,21081,470,25
5,21486,296,16
5,21708,1036,55
5,21710,510,27
5,21777,257,14
5,21795,0,5
5,21797,371,20
5,21806,254,13
5,22081,759,40
5,22164,566,30
