warehouse_id,vending_machine_id,sku_group_id,calc_direct_refill
6,612,21468,6
6,594,34754,3
6,653,34753,10
6,579,21466,15
6,2242,19472,122
6,604,32052,22
6,4540,32052,7
6,622,14912,26
6,602,33204,17
6,611,19472,45
6,1478,32053,6
6,669,14821,38
6,616,6462,82
6,667,6985,62
6,603,15394,82
6,569,32052,7
6,637,23097,61
6,941,19644,4
6,2245,33852,82
6,611,7091,17
6,579,6862,6
6,1478,34753,25
6,598,6512,20
6,2942,34752,9
6,611,6452,12
6,581,14924,65
6,2547,32117,16
6,628,35374,4
6,579,14822,16
6,593,34754,21
6,588,23099,107
6,4710,14821,9
6,4614,32117,1
6,598,22244,8
6,2942,14506,9
6,638,30446,51
6,674,1645,5
6,654,6999,34
6,596,1841,2
6,674,34753,30
6,674,2258,15
6,4614,6427,12
6,4004,2018,46
6,2243,6320,8
6,630,2097,32
6,2190,7150,35
6,618,30445,66
1,1,1347,0
6,4970,7150,60
6,4273,35636,10
6,608,6427,9
6,943,1703,14
6,4970,2450,40
6,619,7150,36
6,4970,36437,80
6,1939,7091,3
3,2471,34313,0
6,645,33852,18
6,620,14333,4
6,1939,7165,47
6,948,38622,20
6,5206,6507,9
6,5206,19569,1
6,1628,1728,16
6,944,34758,54
6,582,14822,12
6,650,34755,94
8,527,16347,0
6,594,14968,114
8,1995,15569,0
6,2942,2125,0
3,2599,18368,0
6,567,6309,15
6,594,14533,21
6,594,40781,28
6,4971,36437,8
6,611,23138,30
6,5716,14823,0
9,1155,8601,0
1,5527,13060,0
6,672,6512,15
6,592,38622,5
66,1807,36787,0
6,581,20059,47
13,5287,10732,6
6,581,4974,19
6,5418,14823,97
6,2244,24839,0
6,642,32052,8
13,5071,36094,0
6,595,6321,27
6,632,2097,76
9,860,8680,0
6,570,20061,25
3,5227,37620,0
6,2543,2097,5
4,4725,38913,0
4,2481,38139,0
6,669,1839,4
66,1634,37370,0
6,610,6512,28
4,3911,30188,0
8,5495,21490,0
6,5419,42172,18
15,4763,22280,4
6,675,42770,4
15,4767,41595,0
8,4727,37493,0
2,4448,40712,0
8,5929,40972,0
6,648,6423,72
6,4538,24839,0
6,1814,40223,39
13,5071,10041,5
15,4764,31616,0
13,4048,38988,2
6,663,6573,65
6,635,6537,74
13,4245,10135,0
6,639,41085,23
8,4682,42262,0
6,668,38621,14
9,2790,8561,0
6,621,42770,5
6,942,7150,55
6,5207,6686,15
13,2536,9964,0
66,4983,37368,0
66,2434,40823,0
8,6150,22693,0
6,630,35920,214
4,4829,16587,0
6,663,33855,7
6,612,42787,2
6,5482,24820,17
6,587,30442,85
6,5481,14533,28
8,1248,42261,0
66,4858,36898,0
6,1476,38621,6
13,3638,10732,0
6,577,20061,37
6,599,23139,166
6,4000,44514,17
6,633,42769,5
5,3349,30187,0
6,5482,6687,7
6,645,14823,12
6,665,2013,10
6,616,6319,70
3,2347,27715,0
8,2600,43534,0
3,3743,17972,0
9,1160,31553,0
66,1806,39969,0
6,2243,35375,27
6,2550,6537,43
6,644,44514,10
6,4849,19644,27
6,608,15021,127
9,2788,8627,0
6,4273,6459,47
6,583,15024,21
6,4849,14823,21
13,4048,27005,22
6,5549,6324,3
8,1823,11182,0
6,663,39891,12
6,632,14970,151
3,1034,24879,0
6,669,6331,23
6,637,19644,24
6,626,6309,10
6,583,14925,20
9,2794,35497,0
6,641,6324,14
15,3005,30835,0
8,5293,40972,0
66,1806,39551,0
4,3782,3965,0
2,5446,38203,0
5,2213,33633,0
3,3708,27715,0
6,644,24819,26
6,663,6999,104
9,859,8617,0
6,619,14823,24
6,652,40779,26
66,1633,40824,0
66,1634,36800,0
15,1039,18471,5
6,1628,42771,7
13,4835,16142,0
6,941,6322,2
1,5439,41959,0
4,1480,15629,0
6,1938,24839,0
6,667,42786,14
8,4907,38990,0
6,1477,6265,29
13,5164,10732,0
13,5164,42737,0
2,5341,40502,0
15,4764,33047,0
1,4798,28229,0
4,2996,3966,0
3,5227,41663,0
6,644,1843,41
66,4986,42145,0
66,1634,37365,0
6,569,6459,15
6,648,1591,4
6,946,6265,43
9,860,19804,0
6,595,6324,15
3,3003,41663,0
13,6108,10373,0
6,4000,1846,2
15,4761,20749,0
9,860,31555,0
6,630,43285,5
3,2860,29748,0
6,943,44516,13
6,618,6389,12
6,647,24960,37
6,943,22245,1
6,623,1914,7
6,646,14506,23
6,647,14507,59
6,593,6379,1
6,2168,1650,15
6,571,6512,49
6,654,6680,7
6,603,14989,40
6,646,6551,3
6,623,33852,54
6,1892,33852,15
6,668,33851,53
6,2242,19644,66
6,568,24819,22
6,594,24820,4
6,637,6324,15
6,621,6389,15
6,633,6324,43
6,600,35375,5
6,665,34754,51
6,1938,32053,50
6,989,14506,48
6,663,19472,84
6,622,34754,16
6,620,14507,17
6,943,17976,40
6,2549,21466,14
6,635,32054,87
6,2168,34753,57
6,670,21465,6
6,2545,2018,49
6,2550,34752,12
6,617,24820,4
6,576,14964,73
6,577,23099,9
6,646,35329,10
6,642,6319,27
6,582,7165,108
6,668,2216,16
6,616,19472,15
6,594,34752,27
6,587,33852,2
6,568,15658,19
6,674,34754,36
6,599,15620,27
6,619,15024,9
6,1078,33852,17
6,4270,35328,7
6,606,14506,17
