warehouse_id,vending_machine_id,manufacturer_variant_id,sales
1,5571,38049,34
1,4936,36636,39
1,5571,37832,102
1,5040,21463,20
1,5791,34351,7
1,1670,21820,26
1,5792,25610,14
1,5146,21463,74
1,5792,30482,74
1,1723,14860,110
1,5571,24841,4
1,1724,14692,12
1,5792,30484,24
1,1830,33528,51
1,1894,26060,74
1,5283,39001,10
1,5827,13060,1
1,1844,33770,36
1,2127,19432,26
1,5309,39893,42
1,2198,25610,208
1,292,18106,18
1,2323,14017,28
1,5381,37045,7
1,2403,20854,56
1,479,36036,4
1,3158,18083,1
1,1931,21656,28
1,3202,13060,1
1,839,36766,11
1,3288,34399,32
1,2009,15751,45
1,5599,20519,14
1,3400,14167,16
1,3398,35326,147
1,2020,30485,9
1,179,37273,3
1,3646,37993,5
1,3656,12414,32
1,5471,19311,10
1,3688,33634,3
1,2040,28229,194
1,4628,31659,8
1,292,36766,104
1,5938,41967,5
1,4888,34351,92
1,1305,36509,2
1,3660,33768,2
1,4548,30482,188
1,3696,43345,10
1,1670,13060,2
1,2008,17621,9
1,1782,33020,4
1,2197,12854,46
1,2207,36509,6
1,2312,30482,2
1,2343,12441,9
1,4163,12472,21
1,4799,23260,98
1,5339,16037,86
1,2560,33528,5
1,4717,13135,146
1,2500,24184,17
1,4717,26060,54
1,4800,14860,17
1,4717,30820,76
1,4563,20852,120
1,4719,19500,118
1,2508,13330,7
1,5599,23639,6
1,2601,23260,10
1,2340,33770,30
1,2602,18105,17
1,3655,35316,1
1,1138,36637,4
1,3262,25452,11
1,2676,23637,23
1,5439,13060,1
1,1101,38745,6
1,2379,33021,1
1,4719,12795,10
1,4628,30941,7
1,2798,35326,27
1,5440,13060,1
1,2759,17952,27
1,5526,34199,4
1,1246,12327,12
1,1143,34824,11
1,3392,24746,14
1,1782,34826,5
1,4550,20784,5
1,2928,25432,2
1,3081,13330,6
1,4425,36509,1
1,3392,23548,54
1,4773,15430,98
1,5845,36088,19
1,4773,18105,194
1,5853,43345,9
1,1245,36352,3
1,62,34396,82
1,1724,35133,32
1,62,30484,135
1,915,42779,1
1,3664,36036,19
1,2647,42725,1
1,3688,13330,12
1,5553,12854,4
1,4626,38049,692
1,5560,20850,118
1,4626,13135,511
1,5560,20848,63
1,2895,20523,1
1,5560,40662,22
1,2895,33525,3
1,5566,28229,134
1,3993,23375,1
1,4798,23638,634
1,4773,36488,9
1,4798,20848,91
1,1672,37994,18
1,4799,36639,33
1,2920,28229,32
1,4799,34397,20
1,4064,13007,33
1,4799,20519,95
1,3131,13060,6
1,4799,36425,80
1,1916,13116,4
1,4799,25609,223
1,144,34397,38
1,4799,20852,123
1,433,24838,4
1,4800,37832,191
1,1916,33525,8
1,4800,34434,180
1,1948,30191,27
1,4800,18106,70
1,2009,17625,4
1,4800,36635,30
1,2101,36631,22
1,5800,44027,6
1,1916,14017,9
1,1932,24865,5
1,1917,32599,57
1,1932,36766,35
1,1917,23637,5
1,4809,23639,119
1,3151,17248,4
1,4809,26060,122
1,4875,14880,3
1,5805,44027,6
1,840,32555,257
1,4809,33770,52
1,4589,24865,12
1,5588,40670,20
1,6001,38049,9
1,4383,24184,6
1,4628,24866,28
1,4489,34601,3
1,4672,13135,117
1,4563,33532,6
1,5883,13786,21
1,5566,34006,33
1,1917,15194,3
1,5588,32555,24
1,4678,25431,10
1,5588,37045,2
1,4678,13330,6
1,4773,36486,35
1,4678,25432,10
1,4800,14167,15
1,2280,24866,4
1,4875,38244,2
1,1931,15194,11
1,1483,22921,5
1,1917,37273,4
1,2719,13743,20
1,1948,30169,2
1,5702,39002,33
1,2206,22944,11
1,2796,15171,23
1,2197,26061,6
1,50,30485,274
1,1931,32599,64
1,2403,36488,26
1,1931,15171,12
1,2008,14769,3
1,1091,34396,26
1,2798,19432,51
1,1932,21818,1
1,2508,22124,97
1,61,36036,14
1,915,32348,6
1,144,34396,39
1,5979,24838,1
1,145,25432,10
1,2589,37832,21
1,3202,20823,2
1,2602,13135,82
1,1932,32597,192
1,6040,40662,7
1,1934,32598,15
1,6043,43634,14
1,5948,22926,28
1,2010,36629,63
1,1581,31659,4
1,3651,19501,2
1,433,30485,27
1,3664,24841,7
1,564,13330,9
1,2025,12854,7
1,839,36036,41
1,2034,36766,8
1,840,36036,43
1,3927,34351,37
1,840,33770,22
1,3322,26061,118
1,3402,25450,8
1,4163,40664,18
1,94,39893,14
1,4164,18106,13
1,1312,16037,89
1,3149,22556,3
