warehouse_id,vending_machine_id,sku_group_id,extra,remove,expiry
6,6114,1591,1,5,0
6,1478,1591,2,17,0
6,640,1591,0,9,0
6,595,1591,0,27,0
6,586,1591,0,8,0
6,612,1591,0,7,1
6,6325,1591,0,1,0
6,5207,1591,0,0,0
6,4970,1591,4,29,1
6,2551,1591,0,0,0
6,600,1591,0,10,0
6,589,1591,4,25,1
6,5418,1591,0,1,0
6,629,1591,0,24,0
6,649,1591,0,10,1
6,675,1591,0,0,0
6,670,1591,0,3,0
6,4878,1591,0,24,0
6,2244,1591,0,0,0
6,587,1591,0,14,0
6,636,1591,0,33,0
6,4002,1591,0,3,0
6,4540,1591,10,21,0
6,623,1591,0,7,0
6,1939,1591,0,5,0
6,5720,1591,0,0,0
6,631,1591,0,4,0
6,1938,1591,0,6,0
6,652,1591,0,2,0
6,627,1591,0,0,0
6,619,1591,0,4,0
6,654,1591,3,15,0
6,4971,1591,0,4,0
6,947,1591,0,9,0
6,565,1591,3,38,3
6,582,1591,0,1,2
6,616,1591,0,2,0
6,5550,1591,0,0,0
6,2190,1591,0,5,0
6,641,1591,0,8,0
6,1477,1591,0,0,0
6,613,1591,0,52,0
6,989,1591,0,51,0
6,668,1632,0,0,0
6,581,1632,0,6,0
6,5479,1632,0,0,0
6,632,1632,0,3,0
1,3237,1632,0,2,0
6,637,1632,0,1,0
6,593,1632,0,1,0
6,4614,1632,0,12,0
6,598,1632,0,0,0
6,2190,1632,0,1,0
6,641,1632,0,2,0
6,608,1632,0,24,0
6,5481,1632,0,0,0
6,942,1632,0,1,0
6,620,1632,0,1,0
6,607,1632,0,1,0
6,611,1632,0,1,0
6,628,1632,0,1,1
6,645,1632,0,2,0
6,630,1632,0,4,0
6,621,1632,0,1,0
6,4270,1632,0,1,0
6,587,1632,0,0,0
6,4878,1632,0,2,0
6,569,1632,0,0,0
6,4275,1632,0,1,0
6,4274,1632,0,1,0
6,949,1632,0,6,0
6,652,1632,0,1,0
6,640,1632,0,2,0
6,570,1632,0,1,0
6,1447,1632,0,2,0
6,653,1632,0,5,0
6,629,1632,0,2,0
6,1477,1632,0,0,0
6,613,1632,0,2,0
6,646,1632,0,0,0
6,626,1632,0,8,0
6,2168,1632,0,2,0
6,4272,1632,0,2,0
6,644,1632,0,1,0
6,2168,1633,0,1,0
6,4275,1633,0,1,0
6,628,1633,0,0,0
6,662,1633,0,5,0
6,652,1633,0,0,1
6,607,1633,0,1,0
6,4878,1633,0,10,0
6,4614,1633,0,8,0
1,3237,1633,0,6,0
6,626,1633,0,8,0
6,4088,1633,0,12,0
6,4274,1633,0,1,0
6,608,1633,0,6,0
6,580,1633,0,1,0
6,593,1633,0,0,0
6,621,1633,0,2,0
6,621,1634,0,1,0
6,4878,1634,0,8,0
6,5480,1635,0,1,0
6,662,1635,0,12,0
6,4001,1636,0,48,0
6,617,1636,3,14,0
6,675,1636,0,6,0
6,2541,1636,0,6,0
6,4088,1636,19,33,0
6,630,1636,48,37,0
6,5719,1636,0,0,0
6,4272,1636,0,6,0
6,941,1636,0,8,0
6,943,1636,0,3,0
6,2543,1636,0,0,0
6,945,1636,0,0,0
6,2190,1636,0,16,0
6,599,1636,0,34,5
6,4621,1636,0,20,0
6,4710,1636,0,16,0
6,949,1636,0,5,0
6,879,1636,13,23,0
6,2052,1636,0,0,0
6,588,1636,0,8,1
6,615,1636,0,3,0
6,565,1636,0,2,0
6,603,1636,31,88,0
6,4275,1636,0,6,0
6,4971,1636,0,0,0
6,1628,1636,0,33,0
6,673,1636,0,6,0
6,2542,1636,0,11,0
6,1078,1636,0,2,0
6,604,1636,0,0,0
6,4000,1636,0,22,0
6,2242,1636,0,0,0
6,619,1636,0,4,9
6,640,1636,0,0,0
6,4002,1636,0,21,0
6,1939,1636,0,10,0
6,614,1636,0,0,0
6,1815,1636,0,37,0
6,618,1636,0,28,0
6,4538,1636,1,15,0
6,1476,1636,0,7,0
6,650,1636,0,0,0
6,629,1636,0,2,0
6,652,1636,0,6,0
6,2549,1636,0,22,0
6,1447,1636,1,6,0
6,579,1636,0,13,1
6,4620,1636,0,6,0
6,583,1636,0,2,0
6,5419,1636,0,1,0
6,2545,1636,0,52,0
6,4878,1636,1,6,10
6,2168,1636,0,36,0
6,608,1636,19,22,0
6,611,1636,0,7,0
6,942,1636,0,3,0
6,880,1636,0,1,0
6,670,1636,1,4,0
6,573,1636,0,2,0
6,2942,1636,0,6,0
6,989,1636,0,19,0
6,587,1636,18,15,1
6,631,1636,0,0,1
6,5549,1636,0,0,0
1,3237,1636,1,33,0
6,623,1636,0,2,0
6,570,1636,0,27,2
6,4003,1636,0,8,0
6,668,1636,0,22,1
6,1938,1636,0,10,0
6,577,1636,0,1,0
6,4614,1636,20,12,0
6,2551,1636,0,5,0
6,4970,1636,0,2,0
6,605,1636,0,0,0
6,632,1636,15,43,0
6,621,1636,0,5,0
6,5718,1636,0,0,0
6,2243,1636,0,3,0
6,3184,1636,0,2,0
6,609,1636,0,11,3
6,5482,1636,0,1,0
6,639,1636,0,0,1
6,627,1636,0,8,0
6,651,1636,0,1,0
6,593,1636,0,10,0
6,2245,1636,0,14,0
6,2244,1636,0,6,0
6,674,1636,0,0,0
6,581,1636,3,1,7
6,2546,1636,0,13,0
6,591,1636,0,0,0
6,626,1636,1,39,1
6,634,1636,0,35,0
6,944,1636,0,10,3
6,1814,1636,1,29,0
6,596,1636,0,5,0
6,672,1636,0,4,0
6,646,1636,0,0,0
6,5418,1636,0,0,0
6,582,1636,0,8,3
6,2547,1636,0,15,0
6,568,1636,0,0,1
6,666,1636,1,1,3
6,597,1636,0,1,0
6,628,1636,0,37,2
6,2550,1636,0,2,0
6,644,1636,0,0,0
6,1066,1636,0,22,0
6,622,1636,0,6,3
6,636,1636,1,12,0
6,569,1636,2,31,3
6,592,1636,0,4,0
6,594,1636,0,1,5
6,648,1636,0,0,0
6,567,1636,0,0,5
6,598,1636,2,40,22
6,665,1636,0,0,0
6,5720,1636,0,0,0
6,669,1636,0,7,0
6,635,1636,0,9,0
6,1478,1636,0,0,0
6,576,1636,0,10,3
6,949,1638,0,1,0
6,651,1639,0,0,4
6,639,1639,0,7,4
6,634,1639,0,0,0
6,989,1639,0,8,0
6,5480,1639,0,6,0
6,1814,1639,0,0,0
6,2549,1639,0,0,0
6,652,1639,0,1,0
6,637,1643,0,0,0
6,4001,1643,0,6,0
6,606,1643,0,0,0
6,946,1643,0,10,0
6,1476,1643,0,7,0
6,4002,1643,0,6,0
6,2549,1643,0,7,0
6,4621,1643,0,8,0
6,5720,1645,0,0,0
6,4088,1645,0,11,0
6,2545,1645,0,13,0
6,5549,1645,0,0,0
6,614,1645,0,0,0
6,576,1645,0,1,1
6,622,1645,0,0,2
6,567,1645,0,0,0
6,4001,1645,0,13,0
6,648,1645,0,0,0
6,941,1645,0,0,0
6,2244,1645,0,0,0
6,568,1645,0,0,0
6,4971,1645,0,0,0
6,579,1645,0,6,2
6,617,1645,1,1,0
1,3237,1645,3,7,0
6,2242,1645,0,0,0
6,2942,1645,0,0,0
6,4002,1645,0,0,0
6,598,1645,0,12,0
6,1628,1645,0,21,0
6,989,1645,0,5,0
6,650,1645,0,17,0
6,4000,1645,0,32,0
6,633,1645,0,0,0
6,1814,1645,0,8,0
6,603,1645,7,6,0
6,626,1645,0,10,10
6,1939,1645,0,9,0
6,5482,1645,0,0,2
6,619,1645,0,1,0
6,4274,1645,0,6,0
6,1476,1645,0,0,0
6,1078,1645,0,1,0
6,640,1645,0,0,0
6,618,1645,0,1,0
6,674,1645,0,0,0
6,666,1645,0,0,0
6,1447,1645,0,0,0
6,596,1645,0,0,0
6,581,1645,0,22,0
6,2243,1645,0,0,0
6,630,1645,4,19,0
6,627,1645,0,4,0
6,1815,1645,0,8,0
6,2546,1645,0,0,0
6,2541,1645,0,7,0
6,607,1645,0,1,0
6,4620,1645,0,1,0
6,573,1645,0,4,0
6,599,1645,0,24,1
6,4621,1645,0,7,0
6,608,1645,0,4,0
6,597,1645,0,0,0
6,668,1645,0,6,0
6,675,1645,0,0,0
6,5718,1645,0,0,0
6,5719,1645,0,8,0
6,2551,1645,0,1,0
6,587,1645,4,0,0
6,594,1645,0,0,0
