sku_group_id,item_quantity,vending_machine_id,warehouse_id
22926,3,179,1
27897,3,179,1
27897,2,179,1
33770,2,179,1
24838,2,179,1
17951,3,179,1
23151,4,179,1
17952,2,179,1
12327,4,230,1
19501,2,179,1
20852,14,230,1
31322,4,230,1
33525,4,230,1
32599,3,230,1
19502,3,230,1
14172,3,230,1
12853,5,230,1
20519,16,230,1
12327,5,230,1
12853,5,230,1
32598,2,230,1
22926,4,230,1
23548,3,230,1
33529,3,230,1
20852,14,230,1
32599,4,230,1
20523,9,230,1
13744,4,230,1
19501,3,230,1
20852,14,230,1
31322,3,230,1
19500,4,230,1
18556,6,230,1
12485,4,2206,1
32597,4,230,1
12327,3,2207,1
32599,6,230,1
23638,7,2207,1
14894,4,2151,1
25610,2,2207,1
20848,4,2151,1
16037,5,1579,1
12795,1,1830,1
39002,2,1579,1
19311,1,1830,1
36088,4,2278,1
14167,7,1894,1
17952,4,2278,1
12327,3,1894,1
19500,3,2280,1
37273,2,1894,1
18105,6,3873,1
25610,2,1917,1
33768,2,2312,1
34396,4,1917,1
21851,3,1641,1
18106,4,3531,1
4627,6,1661,1
30484,3,3531,1
44387,5,1661,1
36631,2,3531,1
16587,7,1661,1
19500,3,1917,1
25609,5,3902,1
36486,2,1917,1
37832,3,3902,1
21851,2,1932,1
30820,6,3902,1
14017,4,1934,1
34351,4,3902,1
25610,7,2206,1
30484,2,2312,1
33525,4,2206,1
12327,5,3927,1
32597,6,2206,1
36091,6,1661,1
32348,7,4200,1
24746,2,4808,1
12854,5,4201,1
36632,1,4808,1
20848,6,4201,1
33527,8,4808,1
25610,2,2278,1
43940,6,1661,1
35326,4,2278,1
41426,4,1661,1
14017,5,4201,1
37833,10,1661,1
25609,8,4201,1
43640,14,1672,1
34396,3,4227,1
22926,4,2323,1
25609,8,4227,1
23639,8,2323,1
34397,3,4227,1
12854,6,2323,1
26060,6,4227,1
12327,4,2343,1
30820,4,4227,1
37832,3,2312,1
18105,2,4228,1
25609,3,2320,1
30820,2,4228,1
18581,4,1672,1
34396,5,4229,1
30484,3,1672,1
42000,2,2500,1
42723,4,1672,1
20854,2,2500,1
18105,8,1672,1
16037,3,2508,1
12327,6,1672,1
38049,2,2508,1
23260,6,4672,1
30484,3,2221,1
18105,1,4677,1
25609,2,2221,1
38049,4,4678,1
24843,2,2221,1
24746,2,4809,1
24843,3,2222,1
22926,1,4809,1
21820,3,2222,1
24866,1,4809,1
32597,3,2222,1
20848,12,1723,1
36977,2,2008,1
30485,4,1723,1
19311,1,2008,1
16037,6,2404,1
24337,5,2008,1
21390,6,2404,1
12417,2,2008,1
19500,4,2404,1
22556,2,2008,1
32597,7,1723,1
13743,2,2008,1
17952,3,1723,1
33770,2,1305,1
33770,4,1724,1
18292,1,2008,1
21463,2,4773,1
12854,4,2008,1
13786,6,4773,1
19311,3,2008,1
12854,4,1724,1
12854,2,2008,1
19501,4,255,1
12327,5,255,1
12441,6,255,1
21656,6,255,1
33526,4,255,1
32598,4,255,1
33528,8,255,1
12327,5,255,1
25432,4,255,1
33527,8,255,1
32179,3,255,1
24865,4,255,1
20523,8,255,1
32599,4,255,1
13743,3,1724,1
25610,8,255,1
19500,2,1782,1
24866,3,2008,1
12854,2,1782,1
20518,7,2008,1
32597,5,267,1
24337,2,2008,1
13848,6,267,1
20518,1,2008,1
32597,7,267,1
27897,3,267,1
16037,6,267,1
32179,5,267,1
33526,2,267,1
27897,4,267,1
14017,6,267,1
31322,8,267,1
16037,4,267,1
25609,6,267,1
25610,4,267,1
19500,3,267,1
20523,8,267,1
27897,5,267,1
32598,4,267,1
12327,3,267,1
21656,3,267,1
17951,6,267,1
24866,3,267,1
33527,7,267,1
32597,5,267,1
25610,3,267,1
27897,4,267,1
21656,3,267,1
32597,4,291,1
19501,4,291,1
12327,5,291,1
22926,5,291,1
27897,3,291,1
31322,3,291,1
30482,3,291,1
23548,2,291,1
32179,6,292,1
17952,3,291,1
24843,4,292,1
32599,10,292,1
26061,5,292,1
30941,2,292,1
31322,4,292,1
17889,4,2008,1
33528,6,292,1
24337,2,2008,1
32599,3,292,1
24746,2,2008,1
36638,7,5283,1
24866,8,2008,1
30482,2,1794,1
15430,4,2009,1
32597,3,1794,1
12157,2,2009,1
36757,6,5283,1
19435,2,2009,1
13786,6,4798,1
19500,2,2280,1
37832,3,4798,1
36488,2,2009,1
30820,6,4798,1
12854,1,2009,1
22124,3,4799,1
15827,1,2009,1
42723,7,4799,1
30820,5,2009,1
39001,7,4799,1
34006,1,2009,1
42001,2,4800,1
13134,1,2009,1
43632,8,1245,1
37491,2,2009,1
37832,3,1245,1
34006,3,2009,1
37311,2,1246,1
13622,1,2009,1
23638,1,1246,1
17889,7,2009,1
34006,3,1830,1
12795,4,2009,1
24866,2,1830,1
36977,15,2009,1
35224,1,1830,1
23639,8,4426,1
12633,6,1830,1
34827,7,2009,1
23260,1,1830,1
13134,3,2009,1
24865,2,1830,1
32348,2,2009,1
13134,1,1830,1
13060,1,1312,1
25610,6,1843,1
37273,7,1312,1
13848,3,1843,1
13060,1,1312,1
38049,4,5310,1
30820,6,4519,1
38049,3,4773,1
15110,2,4519,1
14017,2,4773,1
14694,1,2009,1
23638,2,4808,1
20518,1,2009,1
33768,2,4808,1
12417,1,2009,1
12793,3,1723,1
24865,8,2312,1
40665,6,1723,1
20850,3,2009,1
42724,2,1723,1
13744,4,2342,1
12327,4,1723,1
19500,4,2342,1
43640,6,1723,1
18106,1,2009,1
16037,3,1894,1
23639,3,2009,1
24865,4,1894,1
27900,3,2009,1
25609,3,4808,1
37491,5,2009,1
30485,3,1917,1
19435,2,2009,1
14860,3,1917,1
22124,3,2009,1
24843,2,1917,1
13247,12,2009,1
34396,3,1917,1
16037,2,2009,1
25452,2,1917,1
36488,2,2009,1
20848,8,1931,1
18105,6,2403,1
32597,2,1932,1
21820,5,2403,1
38049,11,1723,1
13743,2,2403,1
39002,2,1723,1
32597,3,2403,1
44117,11,1723,1
24746,2,2009,1
38049,7,1723,1
36635,2,2009,1
37832,6,1723,1
13848,1,2010,1
25610,4,2437,1
19435,1,2010,1
16037,5,2437,1
19435,6,2010,1
21463,6,4809,1
20850,5,2010,1
13786,5,4809,1
30820,5,2010,1
41567,4,1285,1
37491,2,2010,1
23638,3,1305,1
19311,4,2010,1
28229,6,1305,1
19501,1,2010,1
15209,6,5307,1
12208,1,2010,1
30484,2,5309,1
36036,1,2010,1
34006,2,5309,1
18292,1,2010,1
19500,2,1970,1
20518,4,2010,1
15430,5,2008,1
14694,1,2010,1
23637,11,2008,1
19501,5,2437,1
22124,1,2008,1
12327,5,2437,1
14894,3,2008,1
15171,4,2437,1
22556,2,2008,1
16037,7,2437,1
20770,2,2008,1
36977,15,2010,1
12854,5,2008,1
24866,4,2010,1
8446,5,2008,1
36977,15,2010,1
32597,4,2008,1
27900,1,2010,1
22556,1,2008,1
37491,1,2010,1
13622,1,2008,1
24865,1,2010,1
18087,5,2008,1
33527,2,2010,1
23637,1,2008,1
24865,1,2010,1
34434,3,2008,1
18292,1,2010,1
17889,2,2008,1
13848,2,2010,1
12854,4,2009,1
19435,2,2010,1
16037,1,2009,1
33527,5,2010,1
12157,1,2009,1
30820,4,2323,1
24865,5,2009,1
25610,3,2323,1
32555,2,2009,1
16037,2,2343,1
12485,6,2009,1
25610,3,2343,1
22124,2,2009,1
16037,6,2010,1
20770,3,2010,1
14172,1,2011,1
18106,5,5324,1
19311,1,2011,1
15430,2,2010,1
13135,1,2011,1
14694,2,2010,1
36628,3,2011,1
