mvid,mrp,offer_price,zoho_id,vendor_price,variant_id,variant_name,product_id,product_name,brand_id,brand_name
"30,214",30,30,201333000039511768,22.17,5628,ORSL Electrolyte Drink Apple Rs 42,"3,388",apple drink,"1,963",Orsl
"30,216",30,30,201333000039529258,22.17,4650, Orsl Plus Rs 30,"2,497", Orsl Plus Rs 40,"1,963",Orsl
"30,217",10,10,201333000039534063,8.5,7053,Anmol milk Biscuits Rs 10,"4,678",Elachi Biscuits Rs 10,"1,720",Anmol
"30,218",10,10,201333000039522005,8.5,9669,Anmol Snack IT 10 Rs,"6,841",Anmol Lemon Maaza Biscuits Rs 10,"1,720",Anmol
"30,221",10,10,201333000039589166,6.78,3964,Britannia Good Day Cashew cookies Rs 10,"2,095",Britannia Good Day Cashew Cookies Rs 10,"1,455",Britannia
"30,224",20,20,201333000039755075,11.97,120,Real Orange Juice 1,118,Real Orange Juice,"1,640",Real Juice
"30,280",30,30,201333000039875151,21.19,9319,Snickers Almond Rs 30,"6,849",Snickers Almond Rs 30,"1,856",Snickers 
"30,295",30,30,201333000039924001,21.29,8837,Snickers Almond Rs 20,"6,370",Snickers Almond Rs 20,"1,856",Snickers 
"30,309",30,30,201333000039929392,30,5495,Farmley Peri Peri Roasted Makhana ,"3,273",Farmley Roasted Makhana Peri Peri Rs 30,"2,056",Farmley
"30,332",10,10,201333000039940386,9,5117,Britannia Cake Triple Choco Swiss Roll Rs 10,"2,901",Britannia Cake Triple Choco Swiss Roll Rs 10,"1,455",Britannia
"30,335",35,35,201333000039996001,23.44,1119,Cavins Kaju Butterscotch Milkshake,941,Cavins Kaju Butterscotch Milkshake  200g Rs 35,9,Cavins
"30,336",20,20,201333000040006001,11.61,9502,Nuttoz Cashew Black Pepper Rs 20,"7,030",Nuttoz Cashew Black Pepper Rs 20,"2,406",Nuttoz
"30,338",10,10,201333000040010002,8,5354,Lahori Jeera Rs 20,"3,149",Lahori Jeera Rs 20,"2,013",Lahori Jeera
"30,341",10,10,201333000040011049,8.5,7072,Priyagold Cashew Cookies Rs 10,"4,696",Cashew Cookies Rs 10,"2,005",Priyagold
"30,343",40,40,201333000040007423,24,9083,Meow Crispy Himalayan Pink Salt Rs 30,"6,612",Meow Crispy Himalayan Pink Salt Rs 30,"2,399",Meow
"30,344",20,20,201333000039995073,12.5,4068,Alo Frut Orange Rs 30,"1,779",Orange ,"1,795",Alo Frut
"30,346",25,25,201333000040036001,16.95,3329,Britannia Choco Chill Veg Cake Rs 25,"1,739",Britannia Choco Chilli Veg Cake Rs 10,"1,455",Britannia
"30,347",40,40,201333000040037001,21.43,8290,Wonderland Foods Cashew Chilly Garlic ,"5,834",Wonderland Foods Cashew Chilly Garlic Rs 40,"2,306",Wonderland Foods
"30,358",10,10,201333000040026735,10,9547,Priyagold Butter Bite Biscuits Rs 10,"7,075",Priyagold Butter Bite Biscuits Rs 10,"2,005",Priyagold
"30,369",45,45,201333000040072007,32,7649,Cadbury Dairy Milk Crackle,"5,262",Cadbury Dairy Milk Crackle ,"1,457",Cadbury
"30,385",20,20,201333000040094495,10.71,5007,Kurkure Lehar Mast Masala Rs 15,"2,801",Kurkure Rs 15,"1,559",Kurkure
"30,387",25,25,201333000040112051,16.2,4967,7up lemon Rs 35,"1,633",7up Nimbooz,"1,744",7up
"30,388",25,25,201333000040113046,16.2,9729,pepsi zero sugar,188,Diet Pepsi,"1,627",Pepsi
"30,420",45,45,201333000040153801,26.12,306,Hazelnut Latte,286,Hazelnut Latte,12,Nestle 
