warehouse ID,cleaned SKU,SUM of Quantity Received
2,42555,9
2,42557,8
2,42559,12
2,42563,7
2,42564,4
2,42565,9
2,42566,7
2,42567,3
2,42575,3
2,42576,4
2,42577,3
2,42578,2
2,42579,5
2,42580,3
2,42581,5
2,42582,3
2,42583,2
2,42584,26
2,42585,9
2,42586,5
2,42587,10
2,42589,9
2,42591,10
2,42592,6
2,42593,3
2,42595,3
2,42596,4
2,42597,6
2,42721,5952
2,42722,3840
2,42731,400
2,42732,4000
2,42733,400
2,42734,400
2,42758,2500
2,42759,4000
2,42760,2520
2,42761,2448
2,42762,2496
2,42861,5
2,42942,50
2,42943,22
2,42944,10
2,42945,50
2,42947,40
2,42958,480
2,43382,7560
2,43383,8040
2,43384,6120
2,43385,6720
2,43616,352
2,43661,1440
2,43664,720
2,43672,900
2,43674,900
2,43675,2880
2,43676,1800
2,44067,1460
2,44071,2000
2,44114,3000
2,44551,2400
2,44581,100
2,44791,1500
2,44792,1500
2,44793,1500
2,44794,1500
2,45159,5280
2,45222,1440
2,45405,5160
2,45472,972
2,45473,240
2,45614,25
2,45625,25
2,45626,25
2,45629,25
2,45654,25
2,45655,25
2,45656,25
2,45657,25
2,45658,25
2,45659,25
2,45660,25
2,45711,2880
3,5157,840
3,5174,331
3,5346,600
3,5420,316
3,5499,7560
3,5516,273
3,5518,269
3,5520,274
3,5592,12450
3,5612,14880
3,5647,16776
3,5673,3360
3,5812,1008
3,5850,600
3,5898,2700
3,5899,2700
3,5937,8820
3,15487,120
3,15985,1602
3,17174,3600
3,17183,9216
3,17972,25700
3,18084,35
3,18369,1950
3,19635,4440
3,19757,12300
3,19758,3000
3,19759,9000
3,20657,5280
3,21721,122
3,21808,1600
3,22934,4680
3,23267,6800
3,23956,5112
3,24173,720
3,24204,5184
3,24827,5280
3,24828,5904
3,24855,1350
3,24856,900
3,24879,1900
3,24880,1200
3,25128,3000
3,25433,1600
3,26044,27036
3,26045,576
3,26669,4080
3,26834,4680
3,26835,3276
3,26841,2464
3,26957,304
3,27715,9450
3,27716,10500
3,29712,2268
3,29713,1056
3,29715,1950
3,29718,4200
3,29748,19440
3,30088,6336
3,30189,8320
3,30194,6480
3,30195,1500
3,30221,6468
3,30881,1565
3,30943,1200
3,31320,1440
3,32142,1944
3,32505,29145
3,32506,28095
3,33628,840
3,33629,252
3,33849,7182
3,33932,1456
3,33933,2688
3,33934,1288
3,34313,1680
3,34450,5208
3,34451,2568
3,34699,2420
3,34992,6000
3,35285,1632
3,35395,2300
3,35396,1620
3,35901,4536
3,36096,7200
3,36365,600
3,36403,840
3,36404,2800
3,36405,960
3,36406,720
3,36497,2952
3,36504,4500
3,37048,1420
3,37049,450
3,37140,1200
3,37276,4500
3,37537,720
3,37777,182
3,37778,433
3,37779,545
3,37780,521
3,37781,60
3,37782,552
3,37837,19440
3,37994,20
3,38079,2112
3,38745,20
3,38749,30
3,38751,20
3,38992,5250
3,39084,552
3,39741,1440
3,40381,3072
3,40382,3072
3,40383,2688
3,40385,2688
3,40386,2880
3,40389,4392
3,40642,2970
3,40643,1440
3,40644,1440
3,40645,7900
3,41242,960
3,41244,288
3,41659,960
3,41660,1536
3,41661,960
3,41662,1536
3,41663,1536
3,41664,960
3,41845,1000
3,42219,1440
3,42229,1800
3,42751,2600
3,42753,1440
3,43593,384
3,43618,720
3,43621,480
3,43626,300
3,43627,300
3,43629,810
3,43630,1920
3,43992,792
3,44024,1008
3,44026,960
3,44036,1530
3,44037,495
3,44038,450
3,44048,828
3,44070,1500
3,44566,1440
3,45705,240
3,45706,1800
3,45707,1080
3,45708,1125
3,45712,2320
3,45725,144
3,45726,120
3,45794,288
4,3915,5712
4,3950,27228
4,3965,21900
4,3966,22860
4,4218,21630
4,4309,31320
4,4315,35184
4,4457,240
4,4458,31920
4,4470,5088
4,4500,2400
4,4522,4200
4,4561,4590
4,4596,8680
4,4621,7680
4,4625,35420
4,4627,45360
4,4629,27840
4,7365,21816
4,14532,23436
4,14623,1890
4,15629,3630
4,16587,4500
4,17553,6480
4,19322,34752
4,19323,36480
4,20466,12320
4,21805,6400
4,22060,960
4,22080,39264
4,22928,9360
4,23316,4320
4,23393,20100
4,23512,240
4,23809,2240
4,24208,18432
4,24389,240
4,24392,1920
4,24710,1920
4,24825,9120
4,24826,7440
4,24845,5035
4,24846,3570
4,24869,3800
4,24881,3400
4,25114,5760
4,25115,30240
4,25424,12800
4,25447,1080
4,27210,2148
4,27212,1440
4,27707,31920
4,27708,32700
4,27719,2496
4,27756,4480
4,27758,4200
4,27893,21
4,28212,10380
4,28240,4200
4,28270,8625
4,28275,1536
4,29710,2400
4,30180,240
4,30188,38800
4,31326,2880
4,31649,5100
4,31843,27216
4,32261,3240
4,32262,20400
4,32350,29860
4,32891,7560
4,33012,878
4,33014,187
4,33016,148
4,33017,256
4,33018,240
4,33207,9045
4,33637,960
4,34035,15240
4,34394,10908
4,34400,2640
4,34415,720
4,34416,1944
4,34417,2080
4,34433,9488
4,34509,32880
4,34694,10400
4,34933,240
4,35053,1890
4,35059,2100
4,35327,11320
4,35403,5500
4,35404,9000
4,35674,3600
4,36091,10560
4,36092,12000
4,36344,728
4,36356,4250
4,36419,1560
4,36420,4828
4,36421,3456
4,36422,4684
4,36490,7632
4,36508,18860
4,36653,11500
4,36654,6144
4,36819,2448
4,36824,750
4,37035,6178
4,37036,6980
4,37275,10600
4,37583,16884
4,37833,21000
4,38139,5232
4,38617,150
4,38913,720
4,38999,7776
4,39000,2000
4,39756,4500
4,39758,3000
4,40338,360
4,40442,1344
4,40659,6264
4,40707,7500
4,40716,480
4,40717,480
4,40718,480
4,41074,1500
4,41272,960
4,41276,1400
4,41424,6150
4,41426,1200
4,41825,8928
4,42772,1700
4,42774,2160
4,42775,2112
4,42776,5750
4,43219,9344
4,43617,288
4,43679,4500
4,43930,2400
4,43932,1200
4,43934,900
4,43940,1440
4,43943,2640
4,43946,3150
4,43970,5040
4,44015,800
4,44022,2880
4,44051,1188
4,44074,2400
4,44387,3915
4,44468,1200
4,44469,960
4,44543,1350
4,44561,2010
4,44683,60
4,44684,60
4,44685,60
4,44686,60
4,44687,60
4,44688,60
4,44690,60
4,44691,60
4,44692,60
4,44693,216
4,44694,216
4,45146,1150
4,45464,1050
5,0,300
5,3966,7200
5,4131,2520
5,4315,312
5,4470,600
5,4628,17280
5,7240,4236
5,7276,384
5,7297,480
5,7365,17640
5,7390,3360
5,7582,7000
5,7656,61500
5,8309,16176
5,14876,2700
5,18578,5616
5,19313,21180
5,19963,45936
5,22081,6048
5,22226,3456
5,22227,7104
5,22229,27840
5,23263,6260
5,23995,5184
5,24739,32620
5,24740,32500
5,24789,1920
5,24847,2460
5,24848,1860
5,24870,3600
5,24871,4300
5,25455,600
5,26000,30720
5,26195,1020
5,27709,42750
5,27710,45590
5,27712,23775
5,27720,360
5,27767,34360
5,27768,2800
5,27813,3240
5,27847,13800
5,27853,6624
5,28084,26352
5,28086,6480
5,28097,6575
5,28281,17808
5,28284,38964
5,28297,9480
5,28308,9520
5,28312,25168
5,28333,4800
5,28412,2880
5,28414,8460
5,28837,3432
5,28857,8400
5,28870,35760
5,29002,10848
5,29061,25200
5,29223,90
5,29228,23072
5,29298,4440
5,29534,4350
5,29706,9360
5,29708,8640
5,30181,3576
5,30187,19400
5,31325,4176
5,31639,1150
5,32185,9390
5,32186,18880
5,32187,36208
5,32188,9090
5,32258,4800
