sku_id,variant_id,mapper_variant_id,mapper_variant_name
28796,230,61,Paper Boat Lychee Ras Rs 20
28797,231,61,Paper Boat Lychee Ras Rs 20
28800,396,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28802,478,478,Kit Kat Rs 25
28803,512,61,Paper Boat Lychee Ras Rs 20
28804,541,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28805,604,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28807,694,694,Frooti 
28810,814,814,Ritebite Sport Bar Almond Mocha
28811,831,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28813,891,891,RiteBite Peanut Butter
28814,897,896,Yoga Pulp Aloevera KiwiJuice Rs 30
28815,902,693,Snickers
28816,954,954,Parle G Biscuits Rs 5
28819,997,46,Paper Boat Coconut Water
28820,1070,1069, Sunfeast Dark Fantasy Choco Fill Cookies Rs 10
28821,1071,430,Haldiram's Moong Dal Rs 10 
28829,1120,1120,Fanta Can 
28830,1141,318,Coke Zero
28831,1145,401,Bingo - Potato Chips Masala
28832,1170,430,Haldiram's Moong Dal Rs 10 
28833,1171,430,Haldiram's Moong Dal Rs 10 
28834,1172,430,Haldiram's Moong Dal Rs 10 
28835,1175,984,Appy 200ml Rs 15
28836,1207,1170,Haldirams NGP Salted Peanut 
28837,1230,929,Sprite750ml
28838,1241,935,Lays - American Style Cream and Onion 
28847,1293,401,Bingo - Potato Chips Masala
28848,1298,430,Haldiram's Moong Dal Rs 10 
28849,1300,61,Paper Boat Lychee Ras Rs 20
28851,1324,61,Paper Boat Lychee Ras Rs 20
28852,1325,61,Paper Boat Lychee Ras Rs 20
28857,1482,1482,Parle Agro Appy Fizz 
28859,1530,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28862,1591,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28863,1592,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28864,1593,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28865,1606,1606,BRB Popped Potato Chips Pasta Cheese 
28866,1608,1608,Makino Nacho Chips Jalapeno 
28867,1609,1608,Makino Nacho Chips Jalapeno 
28869,1622,1622,BRB Bhel Zingy and Tangy Rs 20
28870,1624,1606,BRB Popped Potato Chips Pasta Cheese 
28872,1783,1767,Little hearts 75gm
28876,1964,693,Snickers
28878,2173,318,Coke Zero
28880,2201,1170,Haldirams NGP Salted Peanut 
28882,2241,1301,Maggi Cuppa Noodles Masala 
28883,2347,430,Haldiram's Moong Dal Rs 10 
28886,2394,61,Paper Boat Lychee Ras Rs 20
28888,2439,130,Choco Chips Cookies
28889,2448,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28892,2670,430,Haldiram's Moong Dal Rs 10 
28895,2812,430,Haldiram's Moong Dal Rs 10 
28897,2983,73,Cavin's Lassi
28898,2987,2987,Wingreen Naan chips Tez tandoori Rs 20
28899,3001,3001,Unibic Choco Nut Cookies Rs 20
28900,3017,1104,Haldirams NGP Lite Chiwda Rs 10
28902,3128,2550,Max Protein Desi Masala Rs45
28905,3316,130,Choco Chips Cookies
28909,3535,318,Coke Zero
28910,3564,2330,Bikano Bikaneri Bhujia 
28911,3588,1608,Makino Nacho Chips Jalapeno 
28912,3619,73,Cavin's Lassi
28913,3647,1170,Haldirams NGP Salted Peanut 
28918,3718,130,Choco Chips Cookies
28919,3724,3542,Taali Masala Mania Protien Puffs Rs 20
28920,3726,3542,Taali Masala Mania Protien Puffs Rs 20
28923,3775,1170,Haldirams NGP Salted Peanut 
28924,3778,1170,Haldirams NGP Salted Peanut 
28925,3792,80,Cavin's Spiced ButterMilk
28926,3802,2584,Paper Boat Chocolate Milkshake Rs35
28928,3837,691,Britannia Chocolate Shake Rs 30 
28930,3859,2550,Max Protein Desi Masala Rs45
28931,3863,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28932,3865,80,Cavin's Spiced ButterMilk
28934,3977,663,Britannia Veg Cake Chocolate Rs 20
28935,3978,663,Britannia Veg Cake Chocolate Rs 20
28940,3999,2553,Bauli Moonfills Vanilla Rs20
28944,4158,430,Haldiram's Moong Dal Rs 10 
28946,4166,61,Paper Boat Lychee Ras Rs 20
28949,4210,4210,Britannia Marie Gold
28950,4212,4036,Snickers Kesar Pista Stick Rs 30
28951,4229,1959,Snickers Rs 20
28953,4283,4283,Redbull Energy Drink 
28956,4357,1104,Haldirams NGP Lite Chiwda Rs 10
28963,4378,1623,Cadbury Dairy Milk Chocolate Rs 50
28966,0,0,Unknown/Unmapped
28968,4407,46,Paper Boat Coconut Water
28969,4409,1623,Cadbury Dairy Milk Chocolate Rs 50
28975,4460,80,Cavin's Spiced ButterMilk
28977,4480,2553,Bauli Moonfills Vanilla Rs20
28978,4481,2553,Bauli Moonfills Vanilla Rs20
28979,4482,4004,Haldirams Lite cornflakes Rs10
28980,4483,80,Cavin's Spiced ButterMilk
28982,4489,261,McVitie's Digestive Biscuits
28983,4501,935,Lays - American Style Cream and Onion 
28984,4502,130,Choco Chips Cookies
28990,4597,3810,Lays Wavay Cream Onion Flavour Rs 15
28995,4655,430,Haldiram's Moong Dal Rs 10 
28996,4668,1344,NIDZ Dark Milk Roasted Cashew Chocolate Rs 60
28997,4669,2604,Nidz Dark Roasted Cashew Chocolate Rs 70
29002,4732,139,Nestle Classic Chocolate 
29003,4773,4773,Twix Chocolate Rs 30
29005,4840,4822,Desi Popz Tangy Imli Rs 50
29006,4867,61,Paper Boat Lychee Ras Rs 20
29007,4869,4869,Shunya Go Zesty Orange 
29008,4870,4866,Coolberg Cranberry Non Alcoholic Beer 
29010,4909,4851,Kerala Banana Chips Desi Masala Rs 20
29011,4953,935,Lays - American Style Cream and Onion 
29012,4962,4851,Kerala Banana Chips Desi Masala Rs 20
